,label,area,perimeter,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,eccentricity,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,aspect_ratio,equivalent_diameter
0,1,253285.0,4754.682645825157,590.5568656710419,575.3298959702184,255.7420178849912,257.2115522040389,-0.5252397191935466,0.22561771911936657,0.16773641865593786,1.919025749649844e-05,5.473155317306384e-06,8.725227336343827e-08,-3.726933444566753e-14,-3.3553157873267005e-10,4.739756503633531e-14,1.0264665017539985,567.8842118673891
1,2,17.0,12.82842712474619,5.695306516473482,3.706277656090747,249.94117647058823,32.411764705882355,-0.43461740273293137,0.759283494666158,0.16975371463464278,0.004726573748996842,0.00010170963808686721,4.892051507598029e-06,-6.85980182270859e-11,-2.356624845849356e-07,-8.486584534451223e-11,1.5366648278803519,4.652426491681278
2,3,9.0,8.0,3.265986323710904,3.265986323710904,256.0,36.0,-0.7853981633974483,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.385137501286538
3,1,251223.0,16345.690716635809,587.3263942412843,586.4246685937165,253.47239305318382,253.62647130238872,0.782142752240192,0.05539182729688665,0.17137318868786866,6.933333354666503e-08,1.1007976933348788e-07,8.109012899490168e-09,1.8278807307178237e-16,1.755616677266205e-12,-1.5901233572102308e-16,1.0015376666362454,565.5679076353271
4,2,15.0,12.0,5.656854249492381,3.265986323710904,309.0,21.0,0.0,0.816496580927726,0.17777777777777778,0.007901234567901233,0.0,0.0,0.0,0.0,0.0,1.7320508075688774,4.370193722368317
5,1,242936.0,20641.779566796624,590.1416929249713,585.5214908199971,253.027793328284,252.81465077221984,-0.9207712101010768,0.1248865440879408,0.1777995629354087,1.9528283251949035e-06,3.309281467475591e-08,9.716958128326644e-08,5.290585082659115e-15,-8.871241006744217e-11,-1.5399067348010347e-15,1.00789074726959,556.161597055911
6,2,5.0,3.0,5.656854249492381,0.0,0.0,258.0,1.5707963267948966,1.0,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,,2.5231325220201604
7,3,28.0,18.242640687119284,8.036460009920049,4.440882002253096,51.82142857142857,214.14285714285714,1.2136707666495836,0.8334520315266702,0.1881833090379009,0.010028259460476717,0.00012338240152897853,5.4293991725225795e-06,-1.1805247539058448e-10,-3.772737464658218e-07,-7.622958738238384e-11,1.8096540295019605,5.970821321441846
8,4,9.0,8.0,3.265986323710904,3.265986323710904,70.0,218.0,-0.7853981633974483,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.385137501286538
9,5,15.0,11.414213562373096,4.618802153517007,4.026578365477733,138.4,39.6,0.7853981633974486,0.4898979485566356,0.15644444444444444,0.0004551111111111112,0.00017536948148148162,6.742386831275062e-08,2.3184487893102343e-13,-1.43837585733868e-09,-4.165185579566942e-27,1.147078669352809,4.370193722368317
