,label,area,perimeter,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,eccentricity,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,aspect_ratio,equivalent_diameter
0,1,258064.0,2028.0,586.5867369792809,586.5867369792809,253.5,253.5,-0.7853981633974483,0.0,0.16666602083204166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,573.2166168845204
1,1,258064.0,2028.0,586.5867369792809,586.5867369792809,253.5,253.5,-0.7853981633974483,0.0,0.16666602083204166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,573.2166168845204
2,1,257979.0,2343.629509039022,586.6229554393319,586.5979976777253,253.49387353234178,253.46561929459375,-0.0674078482390564,0.009224305284500576,0.1667344296260289,5.032250019184905e-11,2.851668306323117e-11,1.850647879424477e-10,1.103164850283151e-20,-1.2000050049477796e-15,-7.684363150880024e-21,1.000042546619159,573.1222073094294
3,1,258064.0,2028.0,586.5867369792809,586.5867369792809,253.5,253.5,-0.7853981633974483,0.0,0.16666602083204166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,573.2166168845204
4,1,258064.0,2028.0,586.5867369792809,586.5867369792809,253.5,253.5,-0.7853981633974483,0.0,0.16666602083204166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,573.2166168845204
5,1,258064.0,2028.0,586.5867369792809,586.5867369792809,253.5,253.5,-0.7853981633974483,0.0,0.16666602083204166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,573.2166168845204
6,1,258064.0,2028.0,586.5867369792809,586.5867369792809,253.5,253.5,-0.7853981633974483,0.0,0.16666602083204166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,573.2166168845204
7,1,258064.0,2028.0,586.5867369792809,586.5867369792809,253.5,253.5,-0.7853981633974483,0.0,0.16666602083204166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,573.2166168845204
8,1,257935.0,2554.7493500861674,586.6555547426453,586.54792031717,253.54524201833794,253.4767945412604,0.7626913563361751,0.01915486439190094,0.16675790478676752,9.362429410830773e-10,1.6704033912760532e-10,1.1489184756542787e-10,-1.3335954339371441e-20,-3.2343622184659913e-15,8.688136170516834e-21,1.00018350491366,573.0733303611887
9,1,256492.0,5145.443143199618,587.815567897455,585.7882375760196,253.8666079253934,254.0664192255509,-0.7169411766960089,0.08298162373392948,0.16781103337166137,3.361278027865278e-07,4.8870267755427826e-08,3.477440957832478e-08,7.620446867106019e-17,-1.2404620182516659e-11,1.4315203623182847e-15,1.0034608587052285,571.4680719937128
10,2,12.0,10.0,4.47213595499958,3.265986323710904,237.0,187.5,1.5707963267948966,0.6831300510639732,0.1597222222222222,0.002363040123456791,0.0,0.0,0.0,0.0,0.0,1.3693063937629153,3.9088200952233594
11,1,250577.0,9066.872001049363,588.0535192913592,585.450388776827,252.43173156355132,250.88863303495532,1.3848014728447886,0.09398821209841171,0.17174339107088116,5.805486113776141e-07,4.299459808191152e-06,4.947059193378619e-07,-5.939915864822766e-13,-7.473579624113921e-11,4.0953061094785023e-13,1.0044463725098396,564.8402830899216
12,2,56.0,37.242640687119284,16.637197096387936,5.548450723310253,47.232142857142854,483.3392857142857,-0.9887236421452863,0.9427512584328948,0.34328307215743437,0.07538641836317171,0.006592743648622406,0.000992693071022279,1.2777666152020303e-06,3.962288670427124e-05,-2.1946734172935977e-06,2.998530207088519,8.444016491289505
13,3,29.0,18.82842712474619,7.464860208405411,5.12947696049298,57.172413793103445,479.6551724137931,0.1275095582152383,0.7265157921977572,0.17680101685185945,0.0040181948414224995,0.0006610439215233404,2.399067787550489e-05,2.028808415384481e-09,4.946560892068934e-07,-2.238652096171346e-09,1.455286818890007,6.076507779746499
14,4,15.0,12.0,5.656854249492381,3.265986323710904,60.0,500.0,0.0,0.816496580927726,0.17777777777777778,0.007901234567901233,0.0,0.0,0.0,0.0,0.0,1.7320508075688774,4.370193722368317
