,label,area,perimeter,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,eccentricity,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,aspect_ratio,equivalent_diameter
77,2,7.0,5.0,8.0,0.0,149.0,0.0,0.0,1.0,0.5714285714285714,0.32653061224489793,0.0,0.0,0.0,0.0,0.0,,2.985410660720923
78,3,29.0,27.0,33.46640106136302,0.0,171.0,0.0,0.0,1.0,2.413793103448276,5.826397146254458,0.0,0.0,0.0,0.0,0.0,,6.076507779746499
79,4,16.0,14.0,18.439088914585774,0.0,212.5,0.0,0.0,1.0,1.328125,1.763916015625,0.0,0.0,0.0,0.0,0.0,,4.51351666838205
80,5,10.0,8.0,11.489125293076057,0.0,405.5,0.0,0.0,1.0,0.825,0.6806249999999999,0.0,0.0,0.0,0.0,0.0,,3.5682482323055424
81,6,95.0,93.0,109.6904736064167,0.0,460.0,0.0,0.0,1.0,7.91578947368421,62.65972299168975,0.0,0.0,0.0,0.0,0.0,,10.998079684646791
82,1,3.0,1.0,3.265986323710904,0.0,11.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
83,2,4.0,2.0,4.47213595499958,0.0,150.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
84,3,3.0,1.0,3.265986323710904,0.0,403.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
85,4,3.0,1.0,3.265986323710904,0.0,505.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
86,1,6.0,4.0,6.831300510639732,0.0,151.5,0.0,0.0,1.0,0.4861111111111111,0.236304012345679,0.0,0.0,0.0,0.0,0.0,,2.763953195770684
87,2,3.0,1.0,3.265986323710904,0.0,183.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
88,3,4.0,2.0,4.47213595499958,0.0,210.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
89,4,8.0,6.0,9.16515138991168,0.0,220.5,0.0,0.0,1.0,0.65625,0.4306640625,0.0,0.0,0.0,0.0,0.0,,3.1915382432114616
90,5,128.0,126.0,147.79715829473852,0.0,296.5,0.0,0.0,1.0,10.666015625,113.76388931274414,0.0,0.0,0.0,0.0,0.0,,12.766152972845846
91,6,11.0,9.0,12.649110640673518,0.0,367.0,0.0,0.0,1.0,0.9090909090909091,0.8264462809917354,0.0,0.0,0.0,0.0,0.0,,3.742410318509555
92,7,75.0,73.0,86.59484203269076,0.0,450.0,0.0,0.0,1.0,6.248888888888889,39.04861234567901,0.0,0.0,0.0,0.0,0.0,,9.772050238058398
93,8,7.0,5.0,8.0,0.0,492.0,0.0,0.0,1.0,0.5714285714285714,0.32653061224489793,0.0,0.0,0.0,0.0,0.0,,2.985410660720923
94,9,11.0,9.0,12.649110640673518,0.0,502.0,0.0,0.0,1.0,0.9090909090909091,0.8264462809917354,0.0,0.0,0.0,0.0,0.0,,3.742410318509555
95,1,3.0,1.0,3.265986323710904,0.0,99.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
96,2,13.0,11.0,14.966629547095765,0.0,114.0,0.0,0.0,1.0,1.0769230769230769,1.1597633136094674,0.0,0.0,0.0,0.0,0.0,,4.068428945128219
97,3,3.0,1.0,3.265986323710904,0.0,211.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
98,4,3.0,1.0,3.265986323710904,0.0,259.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
99,5,3.0,1.0,3.265986323710904,0.0,483.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
100,6,3.0,1.0,3.265986323710904,0.0,505.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
101,1,3.0,1.0,3.265986323710904,0.0,11.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
102,2,3.0,1.0,3.265986323710904,0.0,47.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
103,3,3.0,1.0,3.265986323710904,0.0,83.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
104,4,4.0,2.0,4.47213595499958,0.0,102.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
105,5,5.0,3.0,5.656854249492381,0.0,380.0,0.0,0.0,1.0,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,,2.5231325220201604
106,1,3.0,1.0,3.265986323710904,0.0,19.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
107,2,3.0,1.0,3.265986323710904,0.0,39.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
108,3,3.0,1.0,3.265986323710904,0.0,51.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
109,4,3.0,1.0,3.265986323710904,0.0,94.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
110,5,4.0,2.0,4.47213595499958,0.0,170.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
111,6,3.0,1.0,3.265986323710904,0.0,379.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
112,7,5.0,3.0,5.656854249492381,0.0,387.0,0.0,0.0,1.0,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,,2.5231325220201604
113,8,4.0,2.0,4.47213595499958,0.0,422.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
114,9,43.0,41.0,49.63869458396343,0.0,486.0,0.0,0.0,1.0,3.5813953488372094,12.826392644672797,0.0,0.0,0.0,0.0,0.0,,7.399277020331919
115,1,9.0,7.0,10.327955589886445,0.0,26.0,0.0,0.0,1.0,0.7407407407407407,0.5486968449931412,0.0,0.0,0.0,0.0,0.0,,3.385137501286538
116,2,5.0,3.0,5.656854249492381,0.0,60.0,0.0,0.0,1.0,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,,2.5231325220201604
117,3,3.0,1.0,3.265986323710904,0.0,230.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
118,1,3.0,1.0,3.265986323710904,0.0,505.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
